Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Высота упаковки товара,Посадочный размер вентиляционного канала,Глубина упаковки товара,Ширина упаковки товара,"Диаметр воздуховода, мм",Макс. напор,Высота товара,Глубина товара,Ширина товара,Вес товара (нетто),Страна производства,Тип фильтра,Тип сечения,Изображения
FRr (F5-EU5) 600*300 Фильтр карманный (материал) SHUFT,,RUB,2470.0,1,1,,"<p>Купить FRr (F5-EU5) 600*300 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (F5-EU5) 600*300 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (F5-EU5) 600*300 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтры карманные SHUFT серии&nbsp;FRr представляют из&nbsp;себя фильтрующие вставки, изготовленные из&nbsp;натканного материала с классом очистки F5&nbsp;(EU5), предназначенные для установки в&nbsp;фильтр-боксы соответствующего типоразмера.</p>


<h4>Особенности:
</h4>
<ul>
<li>Фильтрующая вставка FRr с&nbsp;карманами из&nbsp;синтетического волокна.</li>
<li>
Класс очистки F5-EU5.</li>
<li>Монтаж в горизонтальных каналах. В вертикальных каналах карманами вниз во избежание складывания карманов.
</li>
<li>Фланцевое соединение.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;-40 до&nbsp;+70&deg;С</li>
<li>
Фильтруемый воздух не должен содержать агрессивных газов и паров.</li>
</ul>",,1,,Купить FRr (F5-EU5) 600*300 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (F5-EU5) 600*300 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_f5_eu5_600x300,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (F5-EU5) 600*300,1.92,8,600*300,60,30,600,,8,60,30,1.42,,,,https://rkcdn.ru/products/55fcfb2d-e1ce-11ed-b733-005056013a69/src.jpg
FRr (F5-EU5) 600*350 Фильтр карманный (материал) SHUFT,,RUB,2890.0,0,1,,"<p>Купить FRr (F5-EU5) 600*350 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (F5-EU5) 600*350 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (F5-EU5) 600*350 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтры карманные SHUFT серии&nbsp;FRr представляют из&nbsp;себя фильтрующие вставки, изготовленные из&nbsp;натканного материала с классом очистки F5&nbsp;(EU5), предназначенные для установки в&nbsp;фильтр-боксы соответствующего типоразмера.</p>


<h4>Особенности:
</h4>
<ul>
<li>Фильтрующая вставка FRr с&nbsp;карманами из&nbsp;синтетического волокна.</li>
<li>
Класс очистки F5-EU5.</li>
<li>Монтаж в горизонтальных каналах. В вертикальных каналах карманами вниз во избежание складывания карманов.
</li>
<li>Фланцевое соединение.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;-40 до&nbsp;+70&deg;С</li>
<li>
Фильтруемый воздух не должен содержать агрессивных газов и паров.</li>
</ul>",,1,,Купить FRr (F5-EU5) 600*350 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (F5-EU5) 600*350 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_f5_eu5_600x350,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (F5-EU5) 600*350,2.1,3,600*350,59,35,600,,3,59,35,1.6,,,,https://rkcdn.ru/products/4f9eac3a-e1ce-11ed-b733-005056013a69/src.jpg
FRr (F5-EU5) 700*400 Фильтр карманный (материал) SHUFT,,RUB,3610.0,1,1,,"<p>Купить FRr (F5-EU5) 700*400 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (F5-EU5) 700*400 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (F5-EU5) 700*400 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтры карманные SHUFT серии&nbsp;FRr представляют из&nbsp;себя фильтрующие вставки, изготовленные из&nbsp;натканного материала с классом очистки F5&nbsp;(EU5), предназначенные для установки в&nbsp;фильтр-боксы соответствующего типоразмера.</p>


<h4>Особенности:
</h4>
<ul>
<li>Фильтрующая вставка FRr с&nbsp;карманами из&nbsp;синтетического волокна.</li>
<li>
Класс очистки F5-EU5.</li>
<li>Монтаж в горизонтальных каналах. В вертикальных каналах карманами вниз во избежание складывания карманов.
</li>
<li>Фланцевое соединение.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;-40 до&nbsp;+70&deg;С</li>
<li>
Фильтруемый воздух не должен содержать агрессивных газов и паров.</li>
</ul>",,1,,Купить FRr (F5-EU5) 700*400 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (F5-EU5) 700*400 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_f5_eu5_700x400,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (F5-EU5) 700*400,3.5,8,700*400,70,40,700,,8,70,40,3,,,,https://rkcdn.ru/products/4f9eac36-e1ce-11ed-b733-005056013a69/src.jpg
FRr (F5-EU5) 800*500 Фильтр карманный (материал) SHUFT,,RUB,4910.0,1,1,,"<p>Купить FRr (F5-EU5) 800*500 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (F5-EU5) 800*500 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (F5-EU5) 800*500 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтры карманные SHUFT серии&nbsp;FRr представляют из&nbsp;себя фильтрующие вставки, изготовленные из&nbsp;натканного материала с классом очистки F5&nbsp;(EU5), предназначенные для установки в&nbsp;фильтр-боксы соответствующего типоразмера.</p>


<h4>Особенности:
</h4>
<ul>
<li>Фильтрующая вставка FRr с&nbsp;карманами из&nbsp;синтетического волокна.</li>
<li>
Класс очистки F5-EU5.</li>
<li>Монтаж в горизонтальных каналах. В вертикальных каналах карманами вниз во избежание складывания карманов.
</li>
<li>Фланцевое соединение.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;-40 до&nbsp;+70&deg;С</li>
<li>
Фильтруемый воздух не должен содержать агрессивных газов и паров.</li>
</ul>",,1,,Купить FRr (F5-EU5) 800*500 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (F5-EU5) 800*500 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_f5_eu5_800x500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (F5-EU5) 800*500,3.48,5,800*500,80,50,800,,5,80,50,2.98,,,,https://rkcdn.ru/products/4f9eac38-e1ce-11ed-b733-005056013a69/src.jpg
FBRr-K 1000x500 Фильтр-бокс (корпус) SHUFT,,RUB,11640.0,1,1,,"<p>Купить FBRr-K 1000x500 Фильтр-бокс (корпус) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBRr-K 1000x500 Фильтр-бокс (корпус) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBRr-K 1000x500 Фильтр-бокс (корпус) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушные фильтры cерии FBRr-K предназначены для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции.</p>

<p>Применяются в системах вентиляции и кондиционирования прямоугольного сечения.Фильтруемый воздух не должен содержать агрессивных газов и паров. Допустимая температура перемещаемого воздуха от –40 до +70&deg;С.</p>

<p>Корпус изготовлен из оцинкованной стали.Фильтрующие вставки FRKr - рамки с каркасной сеткой из оцинкованной стали и материалом класса очистки (G3-EU3) доступны опционально. Фильтры FBRr-K можно устанавливать в любом положении.</p>",,1,,Купить FBRr-K 1000x500 Фильтр-бокс (корпус) SHUFT с доставкой на uralenergotel.ru,Купить FBRr-K 1000x500 Фильтр-бокс (корпус) SHUFT по низкой цене у официального дилера ТД УЭТ,fbrr_k_1000x500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FBRr-K 1000x500,FBRr-K 1000x500,15,54.4,1000*500,104.4,24.3,1000,,54.4,23.8,104.4,9.25,РОССИЯ,Кассетный,Прямоугольное,https://rkcdn.ru/products/47bc76ea-e1c1-11ed-b733-005056013a69/src.jpg
FRKr (G3) 800x500/50 Фильтр кассетный SHUFT,,RUB,4130.0,1,1,,"<p>Купить FRKr (G3) 800x500/50 Фильтр кассетный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRKr (G3) 800x500/50 Фильтр кассетный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRKr (G3) 800x500/50 Фильтр кассетный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтр кассетный гофрированный SHUFT FRKr (G3) предназначен для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции. Применяются в системах вентиляции и кондиционирования прямоугольного сечения. Изделие представляет собой рамку с каркасной сеткой из оцинкованной стали с материалом из синтетического волокна.</p>


<h4>Особенности кассетного фильтра
</h4>
<ul>
<li>Фильтруемый воздух не должен содержать агрессивных газов и паров.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;–40 до&nbsp;+70&deg;С.
</li>
<li>Толщина рамки фильтра 50&nbsp;мм.
</li>
<li>Устанавливается в фильтр-бокс FBRr-K соответствующего типоразмера, который можно устанавливать в любом положении.</li>
</ul>",,1,,Купить FRKr (G3) 800x500/50 Фильтр кассетный SHUFT с доставкой на uralenergotel.ru,Купить FRKr (G3) 800x500/50 Фильтр кассетный SHUFT по низкой цене у официального дилера ТД УЭТ,frkr_g3_800x500_50,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,EHR,FRKr (G3) 800x500/50,13.5,5,,54,84.4,800,,5,79.6,49.7,13.2,,,,https://rkcdn.ru/products/50660a23-e1c2-11ed-b733-005056013a69/src.jpg
FRKr (G3) 1000x500/100 Фильтр кассетный SHUFT,,RUB,9320.0,0,1,,"<p>Купить FRKr (G3) 1000x500/100 Фильтр кассетный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRKr (G3) 1000x500/100 Фильтр кассетный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRKr (G3) 1000x500/100 Фильтр кассетный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтр кассетный гофрированный SHUFT FRKr (G3) предназначен для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции. Применяются в системах вентиляции и кондиционирования прямоугольного сечения. Изделие представляет собой рамку с каркасной сеткой из оцинкованной стали с материалом из синтетического волокна.</p>


<h4>Особенности кассетного фильтра
</h4>
<ul>
<li>Фильтруемый воздух не должен содержать агрессивных газов и паров.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;–40 до&nbsp;+70&deg;С.
</li>
<li>Толщина рамки фильтра 50&nbsp;мм.
</li>
<li>Устанавливается в фильтр-бокс FBRr-K соответствующего типоразмера, который можно устанавливать в любом положении.</li>
</ul>",,1,,Купить FRKr (G3) 1000x500/100 Фильтр кассетный SHUFT с доставкой на uralenergotel.ru,Купить FRKr (G3) 1000x500/100 Фильтр кассетный SHUFT по низкой цене у официального дилера ТД УЭТ,frkr_g3_1000x500_100,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,IEF,FRKr (G3) 1000x500/100,15.5,10,,54,104.4,1000,,10,104,50,15,,,,https://rkcdn.ru/products/50660a0b-e1c2-11ed-b733-005056013a69/src.jpg
FRKr (G3) 600x350/50 Фильтр кассетный SHUFT,,RUB,2600.0,1,1,,"<p>Купить FRKr (G3) 600x350/50 Фильтр кассетный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRKr (G3) 600x350/50 Фильтр кассетный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRKr (G3) 600x350/50 Фильтр кассетный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтр кассетный гофрированный SHUFT FRKr (G3) предназначен для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции. Применяются в системах вентиляции и кондиционирования прямоугольного сечения. Изделие представляет собой рамку с каркасной сеткой из оцинкованной стали с материалом из синтетического волокна.</p>


<h4>Особенности кассетного фильтра
</h4>
<ul>
<li>Фильтруемый воздух не должен содержать агрессивных газов и паров.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;–40 до&nbsp;+70&deg;С.
</li>
<li>Толщина рамки фильтра 50&nbsp;мм.
</li>
<li>Устанавливается в фильтр-бокс FBRr-K соответствующего типоразмера, который можно устанавливать в любом положении.</li>
</ul>",,1,,Купить FRKr (G3) 600x350/50 Фильтр кассетный SHUFT с доставкой на uralenergotel.ru,Купить FRKr (G3) 600x350/50 Фильтр кассетный SHUFT по низкой цене у официального дилера ТД УЭТ,frkr_g3_600x350_50,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Berg 2024,FRKr (G3) 600x350/50,10,5,,64.4,39.4,600,,5,64,39,9.9,,,,https://rkcdn.ru/products/50660a15-e1c2-11ed-b733-005056013a69/src.jpg
FRr (F7-EU7) 300*150 Фильтр карманный (материал) SHUFT,,RUB,2440.0,1,1,,"<p>Купить FRr (F7-EU7) 300*150 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (F7-EU7) 300*150 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (F7-EU7) 300*150 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтры карманные SHUFT серии&nbsp;FRr представляют из&nbsp;себя фильтрующие вставки, изготовленные из&nbsp;натканного материала с&nbsp;классом очистки F7&nbsp;(EU7), предназначенные для установки в&nbsp;фильтр-боксы соответствующего типоразмера.</p>


<h4>Особенности:
</h4>
<ul>
<li>Фильтрующая вставка FRr с&nbsp;карманами из&nbsp;синтетического волокна.</li>
<li>
Класс очистки F7-EU7.</li>
<li>Монтаж в горизонтальных каналах. В вертикальных каналах карманами вниз во избежание складывания карманов.
</li>
<li>Фланцевое соединение.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;-40 до&nbsp;+70&deg;С</li>
<li>
Фильтруемый воздух не должен содержать агрессивных газов и паров.</li>
</ul>",,1,,Купить FRr (F7-EU7) 300*150 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (F7-EU7) 300*150 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_f7_eu7_300x150,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CAU VIM,FRr (F7-EU7) 300*150,5.5,5,300*150,32,23,300,,5,32,23,5,,,,https://rkcdn.ru/products/694915b5-e1ce-11ed-b733-005056013a69/src.jpg
FBRr-K 700x400 Фильтр-бокс (корпус) SHUFT,,RUB,9000.0,1,1,,"<p>Купить FBRr-K 700x400 Фильтр-бокс (корпус) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBRr-K 700x400 Фильтр-бокс (корпус) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBRr-K 700x400 Фильтр-бокс (корпус) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушные фильтры cерии FBRr-K предназначены для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции.</p>

<p>Применяются в системах вентиляции и кондиционирования прямоугольного сечения.Фильтруемый воздух не должен содержать агрессивных газов и паров. Допустимая температура перемещаемого воздуха от –40 до +70&deg;С.</p>

<p>Корпус изготовлен из оцинкованной стали.Фильтрующие вставки FRKr - рамки с каркасной сеткой из оцинкованной стали и материалом класса очистки (G3-EU3) доступны опционально. Фильтры FBRr-K можно устанавливать в любом положении.</p>",,1,,Купить FBRr-K 700x400 Фильтр-бокс (корпус) SHUFT с доставкой на uralenergotel.ru,Купить FBRr-K 700x400 Фильтр-бокс (корпус) SHUFT по низкой цене у официального дилера ТД УЭТ,fbrr_k_700x400,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FBRr-K 700x400,FBRr-K 700x400,11.3,44.4,700*400,74.4,24.3,700,,44.4,23.8,74.4,7.15,РОССИЯ,Кассетный,Прямоугольное,https://rkcdn.ru/products/47bc76fa-e1c1-11ed-b733-005056013a69/src.jpg
FRKr (G3) 600x300/100 Фильтр кассетный SHUFT,,RUB,6110.0,0,1,,"<p>Купить FRKr (G3) 600x300/100 Фильтр кассетный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRKr (G3) 600x300/100 Фильтр кассетный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRKr (G3) 600x300/100 Фильтр кассетный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтр кассетный гофрированный SHUFT FRKr (G3) предназначен для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции. Применяются в системах вентиляции и кондиционирования прямоугольного сечения. Изделие представляет собой рамку с каркасной сеткой из оцинкованной стали с материалом из синтетического волокна.</p>


<h4>Особенности кассетного фильтра
</h4>
<ul>
<li>Фильтруемый воздух не должен содержать агрессивных газов и паров.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;–40 до&nbsp;+70&deg;С.
</li>
<li>Толщина рамки фильтра 50&nbsp;мм.
</li>
<li>Устанавливается в фильтр-бокс FBRr-K соответствующего типоразмера, который можно устанавливать в любом положении.</li>
</ul>",,1,,Купить FRKr (G3) 600x300/100 Фильтр кассетный SHUFT с доставкой на uralenergotel.ru,Купить FRKr (G3) 600x300/100 Фильтр кассетный SHUFT по низкой цене у официального дилера ТД УЭТ,frkr_g3_600x300_100,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CAU VIM,FRKr (G3) 600x300/100,9.5,10,,64.4,34.4,600,,10,60,34,9.3,,,,https://rkcdn.ru/products/50660a19-e1c2-11ed-b733-005056013a69/src.jpg
FRr (F7-EU7) 700*400 Фильтр карманный (материал) SHUFT,,RUB,8160.0,0,1,,"<p>Купить FRr (F7-EU7) 700*400 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (F7-EU7) 700*400 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (F7-EU7) 700*400 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтры карманные SHUFT серии&nbsp;FRr представляют из&nbsp;себя фильтрующие вставки, изготовленные из&nbsp;натканного материала с&nbsp;классом очистки F7&nbsp;(EU7), предназначенные для установки в&nbsp;фильтр-боксы соответствующего типоразмера.</p>


<h4>Особенности:
</h4>
<ul>
<li>Фильтрующая вставка FRr с&nbsp;карманами из&nbsp;синтетического волокна.</li>
<li>
Класс очистки F7-EU7.</li>
<li>Монтаж в горизонтальных каналах. В вертикальных каналах карманами вниз во избежание складывания карманов.
</li>
<li>Фланцевое соединение.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;-40 до&nbsp;+70&deg;С</li>
<li>
Фильтруемый воздух не должен содержать агрессивных газов и паров.</li>
</ul>",,1,,Купить FRr (F7-EU7) 700*400 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (F7-EU7) 700*400 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_f7_eu7_700x400,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CAU VIM,FRr (F7-EU7) 700*400,2.68,2,700*400,70,39.4,700,,2,70,39.4,2.18,,,,https://rkcdn.ru/products/633ee254-e1ce-11ed-b733-005056013a69/src.jpg
